Cliente,Idade,Plano,Tempo_Contrato_Meses,Mensalidade,Reclamacoes,Chamados_Suporte,Regiao,Churn,Faixa_Etaria,Faixa_Contrato
Cliente 0051,45,Básico,10,62.14,0,1,Sudeste,Não,36-45,0-12
Cliente 0426,23,Standard,53,113.94,1,1,Sul,Não,18-25,49+
Cliente 0205,52,Standard,58,105.78,3,1,Centro-Oeste,Sim,46-55,49+
Cliente 0086,22,Básico,55,81.88,1,0,Sudeste,Não,18-25,49+
Cliente 0797,34,Básico,46,84.88,4,0,Centro-Oeste,Sim,26-35,37-48
Cliente 0883,67,Premium,54,165.5,0,0,Sudeste,Não,56+,49+
Cliente 0492,49,Standard,14,117.64,0,1,Sudeste,Não,46-55,13-24
Cliente 0162,33,Básico,16,77.38,0,2,Sul,Não,26-35,13-24
Cliente 0309,65,Básico,54,67.27,0,1,Sudeste,Sim,56+,49+
Cliente 0675,64,Premium,51,154.32,4,1,Sul,Sim,56+,49+
Cliente 0644,37,Standard,47,120.0,1,2,Sul,Não,36-45,37-48
Cliente 0742,65,Premium,25,165.91,3,0,Sul,Sim,56+,25-36
Cliente 0875,21,Premium,5,173.6,0,12,Nordeste,Não,18-25,0-12
Cliente 0096,42,Premium,47,158.21,0,1,Nordeste,Sim,36-45,37-48
Cliente 0907,41,Standard,12,105.92,4,0,Sudeste,Não,36-45,0-12
Cliente 0717,46,Premium,45,169.61,0,2,Norte,Não,46-55,37-48
Cliente 0430,46,Standard,33,119.88,1,5,Sudeste,Não,46-55,25-36
Cliente 0211,56,Premium,23,162.44,1,1,Centro-Oeste,Não,56+,13-24
Cliente 0236,46,Básico,48,76.17,2,10,Sul,Sim,46-55,37-48
Cliente 0991,56,Standard,45,104.04,1,3,Sul,Não,56+,37-48
Cliente 0961,63,Básico,42,73.11,0,0,Centro-Oeste,Não,56+,37-48
Cliente 0044,50,Standard,28,109.67,0,0,Sul,Não,46-55,25-36
Cliente 0535,45,Standard,52,115.43,0,0,Sul,Não,36-45,49+
Cliente 0579,23,Premium,9,150.12,0,4,Nordeste,Sim,18-25,0-12
Cliente 0274,62,Standard,36,118.76,1,4,Sudeste,Não,56+,25-36
Cliente 0518,67,Básico,40,74.48,2,1,Sudeste,Não,56+,37-48
Cliente 0876,38,Básico,22,71.59,4,3,Norte,Sim,36-45,13-24
Cliente 0353,69,Premium,32,167.3,5,3,Nordeste,Não,56+,25-36
Cliente 0532,50,Nao informado,17,156.88,2,9,Centro-Oeste,Não,46-55,13-24
Cliente 0314,58,Básico,4,61.45,8,0,Sul,Sim,56+,0-12
Cliente 0388,28,Básico,49,63.81,2,0,Centro-Oeste,Sim,26-35,49+
Cliente 0132,30,Básico,26,80.05,2,2,Nordeste,Sim,26-35,25-36
Cliente 0271,51,Standard,51,107.74,2,2,Nordeste,Não,46-55,49+
Cliente 0008,49,Standard,11,108.27,1,6,Sudeste,Sim,46-55,0-12
Cliente 0506,64,Básico,21,75.89,0,2,Nordeste,Sim,56+,13-24
Cliente 0753,66,Standard,44,120.84,1,4,Sudeste,Não,56+,37-48
